"AWifi","BWifi","CWifi","Cell"
"52","60","54","B"
"50","61","54","B"
"50","60","53","B"
"51","61","54","B"
"51","61","54","B"
"50","61","54","B"
"50","60","53","B"
"51","60","54","B"
"51","60","54","B"
"52","60","54","B"
"52","60","54","B"
"51","61","54","B"
"52","61","53","B"
"51","61","53","B"
"50","60","54","B"
"50","60","53","B"
"52","60","53","B"
"51","61","54","B"
"52","60","54","B"
"54","61","53","B"
"53","61","53","B"
"60","61","53","B"
"54","60","53","B"
"58","61","53","B"
"59","60","54","B"
"55","60","55","B"
"51","60","54","B"
"51","60","54","B"
"51","61","53","B"
"53","60","53","B"
"52","61","53","B"
"50","61","53","B"
"53","60","54","B"
"50","60","53","B"
"51","61","54","B"
"53","61","53","B"
"51","60","53","B"
"52","60","54","B"
"52","60","53","B"
"60","61","53","B"
"51","60","53","B"
"52","60","53","B"
"52","61","54","B"
"51","61","53","B"
"51","60","53","B"
"52","61","53","B"
"52","61","54","B"
"52","61","54","B"
"51","60","53","B"
"51","61","54","B"
"51","61","54","B"
"51","59","53","B"
"51","59","53","B"
"59","62","53","B"
"51","61","53","B"
"54","60","53","B"
"58","61","54","B"
"55","61","54","B"
"54","61","53","B"
"52","61","53","B"
"52","62","53","B"
"54","61","54","B"
"51","59","52","B"
"51","59","53","B"
"50","62","53","B"
"54","64","51","B"
"69","62","46","B"
"65","61","45","B"
"64","66","44","B"
"66","61","45","B"
"67","61","45","B"
"65","60","45","B"
"64","61","46","B"
"64","61","46","B"
"67","60","45","B"
"65","60","44","B"
"66","61","44","B"
"65","61","45","B"
"64","60","45","B"
"66","59","45","B"
"68","60","45","B"
"68","60","44","B"
"68","60","45","B"
"65","60","45","B"
"64","61","44","B"
"64","61","45","B"
"68","60","46","B"
"67","60","45","B"
"66","61","45","B"
"65","60","45","B"
"66","60","44","B"
"64","61","45","B"
"66","60","44","B"
"64","61","44","B"
"61","60","45","B"
"64","60","45","B"
"64","59","45","B"
"63","60","44","B"
"64","60","45","B"
"64","60","45","B"
"64","61","44","B"
"65","59","45","B"
"64","60","44","B"
"65","60","46","B"
"63","60","45","B"
"63","61","45","B"
"62","61","45","B"
"62","60","45","B"
"63","61","45","B"
"63","60","44","B"
"65","61","45","B"
"64","61","46","B"
"66","59","44","B"
"64","60","44","B"
"64","60","45","B"
"66","61","45","B"
"64","61","44","B"
"63","61","46","B"
"64","60","45","B"
"63","61","46","B"
"65","61","46","B"
"64","60","45","B"
"64","60","45","B"
"64","61","45","B"
"64","60","45","B"
"64","60","45","B"
"65","60","45","B"
"64","59","45","B"
"65","60","45","B"
"63","59","45","B"
"67","60","45","B"
"66","59","45","B"
"63","60","44","B"
"68","61","45","B"
"65","60","44","B"
"67","61","46","B"
"66","62","45","B"
"66","61","45","B"
"66","60","45","B"
"65","60","44","B"
"66","61","44","B"
"64","62","45","B"
"65","61","44","B"
"65","61","44","B"
"64","62","44","B"
"66","62","44","B"
"66","62","43","B"
"65","60","44","B"
"66","60","44","B"
"65","60","45","B"
"64","60","45","B"
"65","61","44","B"
"64","61","45","B"
"65","61","45","B"
"62","61","44","B"
"62","61","45","B"
"64","62","44","B"
"61","61","44","B"
"65","65","43","B"
"64","63","45","B"
"58","63","46","B"
"47","68","61","C"
"47","67","54","C"
"47","67","53","C"
"54","66","53","C"
"47","65","55","C"
"46","66","54","C"
"47","65","54","C"
"48","66","54","C"
"47","64","54","C"
"47","67","54","C"
"47","65","54","C"
"47","67","54","C"
"47","66","55","C"
"47","63","55","C"
"47","65","54","C"
"47","67","54","C"
"46","64","55","C"
"47","67","55","C"
"46","67","55","C"
"48","65","54","C"
"47","64","54","C"
"48","65","54","C"
"52","67","54","C"
"48","66","54","C"
"47","67","53","C"
"47","68","54","C"
"47","67","53","C"
"47","66","53","C"
"46","67","53","C"
"47","68","53","C"
"53","68","53","C"
"53","66","54","C"
"47","68","53","C"
"52","68","54","C"
"46","66","53","C"
"47","65","53","C"
"47","65","54","C"
"46","64","53","C"
"54","58","53","C"
"47","65","53","C"
"47","61","53","C"
"47","65","53","C"
"53","65","53","C"
"53","65","54","C"
"46","65","53","C"
"52","55","53","C"
"53","66","53","C"
"45","61","54","C"
"55","65","52","C"
"54","69","52","C"
"53","63","53","C"
"47","64","53","C"
"47","63","53","C"
"46","65","53","C"
"48","63","53","C"
"47","66","53","C"
"53","65","53","C"
"48","58","54","C"
"47","63","54","C"
"48","62","53","C"
"46","65","54","C"
"48","68","52","C"
"47","64","53","C"
"47","59","53","C"
"47","63","53","C"
"53","62","53","C"
"48","63","53","C"
"47","64","53","C"
"47","64","53","C"
"47","66","53","C"
"47","63","53","C"
"48","63","52","C"
"47","65","53","C"
"47","62","54","C"
"48","62","53","C"
"47","66","53","C"
"48","65","53","C"
"48","64","53","C"
"47","65","53","C"
"47","65","53","C"
"47","63","53","C"
"46","65","53","C"
"46","65","52","C"
"51","66","53","C"
"47","63","53","C"
"48","66","53","C"
"47","65","53","C"
"47","64","54","C"
"47","64","55","C"
"47","64","53","C"
"46","64","54","C"
"54","64","53","C"
"47","65","53","C"
"47","64","54","C"
"45","63","52","C"
"46","63","54","C"
"46","66","55","C"
"50","68","57","C"
"54","66","54","C"
"54","67","55","C"
"55","67","55","C"
"54","67","55","C"
"54","65","54","C"
"54","66","55","C"
"55","67","54","C"
"54","67","53","C"
"55","67","53","C"
"53","67","54","C"
"53","66","53","C"
"52","65","54","C"
"54","67","56","C"
"51","66","54","C"
"54","67","55","C"
"54","67","54","C"
"50","71","54","C"
"51","68","54","C"
"51","68","62","C"
"52","69","57","C"
"52","70","54","C"
"49","61","53","C"
"49","61","52","C"
"56","61","52","C"
"50","60","52","C"
"56","62","50","C"
"49","61","51","C"
"49","60","56","C"
"49","61","53","C"
"50","63","53","C"
"50","60","52","C"
"50","60","56","C"
"55","62","51","C"
"56","60","56","C"
"50","62","53","C"
"50","63","50","C"
"49","61","51","C"
"56","63","50","C"
"50","62","55","C"
"49","59","50","C"
"49","59","53","C"
"49","60","53","C"
"50","61","53","C"
"49","62","53","C"
"50","62","52","C"
"48","61","52","C"
"54","61","50","C"
"49","61","53","C"
"49","61","55","C"
"49","63","55","C"
"49","62","55","C"
"50","62","51","C"
"49","61","51","C"
"50","59","53","C"
"50","60","51","C"
"50","62","53","C"
"50","61","53","C"
"50","62","52","C"
"56","62","53","C"
"50","61","52","C"
"50","60","53","C"
"50","61","53","C"
"49","62","53","C"
"50","62","54","C"
"50","62","55","C"
"49","61","51","C"
"50","62","51","C"
"50","61","52","C"
"51","61","50","C"
"51","60","54","C"
"57","60","54","C"
"50","61","51","C"
"49","62","52","C"
"48","60","51","C"
"50","59","52","C"
"49","61","51","C"
"50","61","51","C"
"48","60","52","C"
"49","60","52","C"
"50","63","54","C"
"49","61","53","C"
"50","61","49","C"
"51","63","51","C"
"56","62","50","C"
"51","63","50","C"
"51","62","51","C"
"50","62","52","C"
"55","62","52","C"
"55","62","52","C"
"55","61","51","C"
"50","61","52","C"
"50","61","53","C"
"51","61","51","C"
"50","62","55","C"
"55","61","53","C"
"51","61","52","C"
"54","60","54","C"
"53","65","49","C"
"54","63","58","C"
"54","61","57","C"
"66","61","60","C"
"54","61","59","C"
"64","63","58","C"
"54","63","60","C"
"54","62","57","C"
"53","62","58","C"
"54","62","61","C"
"64","63","59","C"
"55","61","60","C"
"56","61","60","C"
"66","63","61","C"
"54","61","60","C"
"65","61","63","C"
"54","63","59","C"
"54","62","58","C"
"60","60","60","C"
"59","63","59","C"
"54","62","59","C"
"54","63","61","C"
"55","63","59","C"
"60","63","59","C"
"55","63","60","C"
"55","62","59","C"
"64","62","60","C"
"67","62","61","C"
"54","62","60","C"
"63","62","60","C"
"54","62","60","C"
"62","61","60","C"
"58","61","59","C"
"65","63","60","C"
"55","63","59","C"
"66","61","61","C"
"54","62","59","C"
"54","63","59","C"
"60","62","60","C"
"65","63","58","C"
"66","63","57","C"
"55","62","58","C"
"56","62","58","C"
"55","62","62","C"
"55","62","60","C"
"55","62","62","C"
"55","62","64","C"
"65","68","63","C"
"65","63","62","C"
"54","62","64","C"
"55","63","61","C"
"63","63","63","C"
"55","64","63","C"
"56","60","67","C"
"60","60","61","C"
"54","61","68","C"
"54","60","68","C"
"55","61","65","C"
"54","62","65","C"
"53","63","65","C"
"54","62","63","C"
"55","63","63","C"
"54","63","63","C"
"69","63","63","C"
"54","64","64","C"
"51","61","67","C"
"52","60","59","C"
"53","61","61","C"
"54","61","61","C"
"53","61","61","C"
"54","62","60","C"
"56","61","61","C"
"53","62","62","C"
"54","60","62","C"
"67","60","60","C"
"65","64","62","C"
"52","64","62","C"
"53","63","62","C"
"67","64","61","C"
"54","63","64","C"
"67","61","63","C"
"69","63","66","C"
"68","61","64","C"
"52","62","65","C"
"61","62","66","C"
"52","61","62","C"
"61","67","49","C"
"61","60","48","C"
"61","60","48","C"
"55","61","47","C"
"60","59","48","C"
"53","63","47","C"
"54","60","48","C"
"54","60","47","C"
"53","59","47","C"
"54","59","48","C"
"54","62","47","C"
"54","61","48","C"
"54","61","47","C"
"54","61","48","C"
"54","62","48","C"
"54","60","48","C"
"55","61","46","C"
"60","61","48","C"
"59","60","47","C"
"60","60","47","C"
"59","60","48","C"
"60","60","47","C"
"59","61","47","C"
"57","61","46","C"
"59","60","47","C"
"59","61","46","C"
"55","61","47","C"
"54","62","46","C"
"60","62","48","C"
"59","61","48","C"
"54","64","47","C"
"54","60","48","C"
"53","60","48","C"
"53","60","47","C"
"66","60","47","C"
"59","60","48","C"
"60","60","48","C"
"59","61","48","C"
"55","61","47","C"
"53","61","47","C"
"54","59","48","C"
"59","59","48","C"
"55","59","47","C"
